Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Real_Effort_Person_Hours,,
1,0,3,10,26,7,1,215,0.92,0.74,160.3,3206,,
,,,,,,,,,,,,,
Simple Actors,Average Actors,Complex Actors,UAW,Simple UC,Average UC,Complex UC,UUCW,TCF,ECF,Real_P20,Effort,Manhattan Distances,Euclidean Distances
1,1,2,9,6,10,15,355,0.81,0.84,398.5,7970,5041.32,4761.64856613757
1,2,1,8,4,20,15,445,0.99,0.99,398.1,7962,4917.17,4731.17670518657
0,0,3,9,1,5,20,355,1.03,0.8,396.75,7935,4777.19,4601.05194812013
0,1,2,8,5,10,15,350,0.9,0.91,390.25,7805,4731.19,4553.95158398725
1,2,1,8,1,10,16,345,0.9,0.91,387.9,7758,4615.32,4438.99820538373
2,0,2,8,1,13,14,345,0.99,0.99,382.15,7643,4587.3,4330.95429193151
0,2,1,7,3,18,15,420,0.94,1.02,376.6,7532,4421.17,4246.94419738475
0,1,2,8,0,16,12,340,1.03,0.8,372.55,7451,4409.3,4244.78940335089
0,1,2,8,2,10,15,335,0.94,1.02,372.45,7449,4474.345,4225.83152392816
4,0,1,7,4,14,17,415,1.025,0.98,371.35,7427,4365.04,4201.78711997645
1,2,1,8,5,16,10,335,0.92,0.78,370.3,7406,4321.22,4160.69021045788
0,1,2,8,1,10,15,330,0.85,0.89,368.25,7365,4379.24,4148.66063131223
1,0,2,7,9,8,19,410,0.75,0.81,367.5,7350,4332.445,4101.50242338402
1,0,2,7,5,8,20,405,1.02,1.085,365.15,7303,4203.385,4047.58731526881
0,1,2,8,2,15,11,325,1.095,0.95,362.6,7252,4195.04,4040.60379171232
0,1,2,8,1,8,16,325,0.92,0.78,362.25,7245,4200.24,3964.43035426277
0,2,1,7,2,15,16,400,0.75,0.81,358.3,7166,4136.06,3917.0042126924
2,1,1,7,5,11,17,390,0.965,0.755,355.95,7119,4048.04,3906.37095033229
0,1,2,8,3,9,14,315,0.92,0.78,355.55,7111,3989.34,3839.40035174765
4,2,0,8,2,14,11,315,1.05,0.95,352.2,7044,4055.22,3838.0824696976
1,0,2,7,5,14,15,390,0.71,0.73,352,7040,4057.445,3826.35141211899
2,1,1,7,3,23,10,395,1.02,1.085,351.4,7028,3884.17,3737.4443160668
0,1,2,8,1,16,10,315,1.03,0.8,347.1,6942,3744.06,3609.23038918964
1,0,2,7,1,15,10,305,0.965,0.755,340.7,6814,3817.19,3606.89298733689
0,0,3,9,2,19,12,380,0.78,0.79,340.45,6809,3808.29,3599.67610438773
0,1,2,8,2,20,11,375,0.98,0.97,340.1,6802,3717.37,3582.24665154425
1,1,3,12,0,14,11,305,0.78,0.51,339.35,6787,3692.19,3559.25161045128
1,0,2,7,1,9,14,305,1.08,0.77,338.2,6764,3771.34,3558.93032539273
